statistic,mean,mean,mean,mean,mean,standard_deviation,standard_deviation,standard_deviation,standard_deviation,standard_deviation
max_buses,1,2,4,8,16,1,2,4,8,16
date,,,,,,,,,,
1966-04-01,40692.34,45733.72,41179.2,22465.96,8032.16,46209.99854153396,62742.388863409935,82451.08495789909,92384.91541989539,115627.67690471877
1966-05-01,40597.88,45661.26,41152.0,22681.8,8104.08,46336.89383098174,62966.78029765751,82882.95744073353,93338.09156075605,116615.70199378672
1966-06-01,40496.32,45665.66,41157.56,22743.92,8360.94,46493.121501537564,63250.7349392197,83340.50383331148,93938.42385108516,117721.44355082554
1966-07-01,40388.02,45799.6,41230.72,22789.02,8366.64,46603.91164737491,63688.873386045016,83879.84999549617,94577.14707861622,118544.9884451451
1966-08-01,40358.44,45704.14,41334.42,22879.62,8544.02,46798.75386451905,63888.60737731457,84474.0133827159,95400.80337656214,119567.57164243564
1966-09-01,40198.2,45673.48,41250.06,22973.52,8775.92,46873.06971829695,64236.25885688054,84760.65275013506,95970.01637655337,120703.74250235618
1966-10-01,40045.18,45609.74,41257.08,23071.5,8852.26,46991.036135081886,64539.85059234364,85244.2196395313,96718.86105747473,121543.08640229743
1966-11-01,39998.66,45540.2,41372.52,23256.6,8988.12,47180.16549036647,64839.17199738228,85912.4124246435,97517.14714838198,122583.54842454451
1966-12-01,39886.04,45601.44,41346.22,23324.44,9041.28,47308.854969108725,65206.549453244086,86305.56411634426,98184.2534852484,123628.60552890679
1967-01-01,39793.44,45497.32,41352.24,23545.76,9212.44,47502.3266068911,65387.910348726255,86778.82416330444,99113.04667914743,124654.93793491514
1967-02-01,39700.48,45421.54,41400.26,23741.96,9487.28,47595.94405642188,65638.47699616376,87219.17607672323,99826.2973551109,125760.96101959884
1967-03-01,39563.76,45354.26,41419.78,23844.28,9647.38,47721.40578593764,65890.60551377438,87575.04316504089,100451.24749665524,126738.28675626747
1967-04-01,39481.0,45279.48,41464.08,24072.3,9845.34,47908.31320345145,66130.87525698336,88110.63574496115,101272.51466685806,127842.38748371019
1967-05-01,39438.64,45283.16,41534.98,24213.9,10036.98,48045.48685583999,66430.91301659773,88678.44817769238,101961.60654658802,128939.24524751799
1967-06-01,39300.18,45273.62,41473.86,24366.88,10400.08,48148.11722459209,66720.08155946479,89045.77937791783,102705.00776150807,130039.9791410852
1967-07-01,39226.28,45233.12,41656.52,24543.0,10190.24,48350.65986382129,66948.3720728876,89693.72984165479,103454.51785421932,130827.00429872252
1967-08-01,39165.06,45149.6,41535.3,24867.04,10357.82,48535.17160945856,67225.13251723036,89935.96761783988,104412.17592770277,132028.1629784219
1967-09-01,39026.98,45191.94,41545.04,24987.16,10675.52,48677.95091250666,67573.35721572883,90434.630741466,105157.10485363491,133155.09175014446
1967-10-01,38921.86,45101.02,41690.32,25137.7,10858.88,48762.67934871621,67816.73703700681,91183.3640126916,105888.91473176703,134222.58868480602
1967-11-01,38825.22,45067.78,41612.72,25422.86,10991.2,48934.16471816903,68100.02617617344,91518.17024783569,106798.70667584446,135342.53228315306
1967-12-01,38725.06,44972.68,41594.58,25591.2,11192.64,49101.65137062965,68340.89213385066,91945.49397645923,107484.17212647767,136239.78644418655
1968-01-01,38596.18,44959.44,41606.32,25788.42,11502.96,49210.25012136957,68658.9056194728,92449.42687374144,108377.13235886158,137498.56791105206
1968-02-01,38540.58,44913.8,41722.9,26080.8,11674.96,49377.82049028714,68902.14061631323,92902.55013903943,109175.6571656476,138542.105558012
1968-03-01,38422.68,44874.36,41668.68,26316.04,11943.62,49506.01496311496,69194.33276479885,93188.7273629604,110031.64091277357,139697.27656043865
1968-04-01,38302.76,44916.06,41749.1,26728.58,12171.16,49620.398524158656,69567.77646953145,93895.06301429903,111080.32185785423,140716.6271171932
1968-05-01,38170.56,44814.2,41692.9,26885.92,12209.66,49765.19271463638,69755.54166238153,94266.50573452885,111752.53577214108,141672.35647683128
1968-06-01,38114.48,44783.28,41647.7,27053.46,12504.2,49932.47808228995,70036.42106587057,94620.44788074648,112596.14216525522,142930.79596384097
1968-07-01,38017.56,44752.0,41829.06,27569.4,12613.42,50080.116720523176,70315.2672178551,95299.40319885299,113690.880006503,143935.97731518393
1968-08-01,37872.58,44711.24,41841.04,27717.88,12682.36,50199.1406980239,70588.59903914068,95598.22369026039,114339.83171331942,144890.53039136907
1968-09-01,37752.0,44700.6,41945.34,27981.38,12874.56,50362.13612609847,70923.47136116764,96203.05163847719,115391.16381529643,146162.2126544592
1968-10-01,37721.74,44692.24,41923.16,28183.18,13231.64,50542.55547104109,71261.3800892667,96738.02160608616,116138.87255450797,147606.76983669435
1968-11-01,37550.62,44629.42,41806.98,28228.44,13428.4,50661.38300556279,71476.44091018625,97003.60387319302,116844.38681865268,148645.91763156705
1968-12-01,37501.88,44603.58,41846.72,28606.56,13351.4,50808.433303947015,71734.27681041941,97586.73344659683,117904.77982368585,149530.03395455037
1969-01-01,37383.84,44610.88,41926.6,28792.96,13478.82,50938.36188818236,72123.0757020248,98127.43746323978,118611.93553528641,150876.16699184338
1969-02-01,37330.7,44512.28,41926.7,29057.46,13864.46,51117.087537698535,72369.2503166185,98338.49573632734,119442.06891912932,152068.77363289494
1969-03-01,37225.02,44544.54,42023.76,29215.14,14100.68,51247.768640121576,72685.22424369007,99011.25523518701,120300.28207594289,153091.52346113292
1969-04-01,37130.1,44638.62,42024.68,29290.4,14396.72,51415.78359079148,73029.84785909143,99485.02046312585,120933.42603199801,154292.98550816247
1969-05-01,37014.82,44553.54,41888.0,29403.9,14629.64,51526.30344713389,73227.72766143676,99755.81486892512,121694.85645466045,155650.1191555376
1969-06-01,36887.76,44574.32,41925.38,29644.04,15073.44,51687.1977578943,73607.44184244817,100271.32261303299,122677.02268133815,157030.2640604813
1969-07-01,36690.12,44545.42,41958.56,29900.44,15272.24,51693.62047745291,73883.6491557848,100739.75715657504,123482.11723559865,158077.4780330461
1969-08-01,36610.66,44505.22,41943.96,30034.86,15541.78,51883.48948329972,74177.75718633928,101068.40049577254,124143.32864171684,159384.21022431355
1969-09-01,36539.08,44535.5,42121.78,30508.54,15868.58,52019.64697007688,74548.33537753357,101718.87888972854,125232.48000487668,160890.7153462123
1969-10-01,36459.86,44555.86,42070.92,30704.06,15910.28,52134.584423593675,74808.95963829248,102095.80161706064,126023.46342749683,161766.68132397678
1969-11-01,36330.14,44593.46,42078.28,30689.0,16146.6,52291.276531621705,75119.18481937179,102531.36066550564,126695.23952382742,163004.7162396455
1969-12-01,36206.92,44513.66,42188.88,30883.98,16649.12,52461.62053868037,75452.99808749979,103129.76251932043,127627.28754758793,164579.46430711803
1970-01-01,36130.86,44530.68,41988.3,31153.72,17097.66,52632.13325546302,75771.29394365329,103416.12623532371,128500.11203648573,166077.35580778774
1970-02-01,36078.38,44546.12,42105.68,31489.96,17438.12,52755.922781099245,76094.88336620221,104014.1880269991,129686.41159176773,167246.41034256938
1970-03-01,35903.94,44545.62,42217.8,31678.6,17726.88,52841.58814349677,76408.54562685928,104556.0852482962,130399.18457942746,168616.27802851476
1970-04-01,35880.76,44506.66,42150.76,31994.84,17842.0,53078.678141869386,76659.26122375455,104948.31993201925,131317.60671160463,169958.0362196288
1970-05-01,35719.44,44485.52,42086.08,32189.58,18352.96,53197.27429574119,76875.69521497225,105264.78010039876,132082.57742066248,171348.18607306285
1970-06-01,35566.54,44471.06,42163.9,32616.98,18774.34,53314.360101850565,77315.60952604644,105866.29391721099,133210.56416471337,172738.45910279665
1970-07-01,35499.18,44449.68,42108.48,32621.28,19035.9,53479.57671008053,77576.98739946753,106223.25477824178,133916.21522277826,173999.15130971183
1970-08-01,35406.12,44472.66,42176.62,32879.0,19430.32,53625.24596152717,77958.69985005274,106669.41221666393,134911.32991649266,175449.10604961714
1970-09-01,35384.38,44447.12,42243.44,33295.26,20011.18,53776.364297873006,78223.24943016544,107233.24218295256,136112.5147269654,177091.56903561938
1970-10-01,35270.4,44469.4,42307.96,33450.96,20320.86,53910.35135996706,78507.80026473908,107708.02672758141,136870.37451514747,178341.6613749003
1970-11-01,35134.14,44473.46,42230.86,33596.78,20672.0,54059.17621364912,78809.39597178208,108060.73623435393,137647.11987191104,179629.57442368072
1970-12-01,35064.38,44476.14,42278.56,33879.28,21186.16,54259.47481631617,79194.24051337449,108549.79452074667,138462.0843082366,181244.17452103287
1971-01-01,35045.84,44418.24,42389.32,34136.22,21706.6,54481.03448527866,79432.19584191132,109037.57489057594,139298.90110431227,182447.23655079133
1971-02-01,34960.62,44438.82,42409.26,34368.24,22155.82,54642.73577013223,79806.34670319018,109549.12726388082,140226.2781484619,183862.48137645077
1971-03-01,34791.68,44386.72,42509.1,34678.98,22445.38,54749.62973742659,80104.17654072064,110173.01432788266,141274.20933389774,185204.87450266132
1971-04-01,34757.96,44322.86,42345.98,34869.22,22479.62,54980.90155531375,80334.69341881055,110386.70967686875,141993.68524681308,186237.68224304344
1971-05-01,34627.88,44326.34,42464.36,35164.36,23121.34,55103.12887617626,80663.34322952203,110991.07068032866,143025.35069853588,187710.43453024956
1971-06-01,34571.2,44394.5,42531.92,35200.76,23583.44,55287.58847173937,81030.00431416168,111430.04557391923,143605.69197242844,189075.82449249487
1971-07-01,34431.5,44379.34,42465.62,35326.14,23758.34,55430.173593652486,81319.72719410005,111822.02729809874,144313.1935907724,190479.77590709392
1971-08-01,34313.98,44461.28,42692.0,35840.52,24207.16,55543.73129400666,81660.573336179,112414.38369292971,145674.03892031254,191712.4507874036
1971-09-01,34353.26,44460.24,42792.92,36193.8,24554.96,55839.78097502875,81971.94730816295,112962.12932530863,146613.87050260662,193094.75642939916
1971-10-01,34219.86,44311.26,42717.42,36218.78,24799.44,55968.94270349716,82137.93495185711,113283.20606736741,147238.45090515795,194516.3229684064
